row,DOI,Abstract,label
403,10.3390/app13031386,"In recent years, Artificial Intelligence (AI) provided essential tools to enhance the productivity of activities related to civil engineering, particularly in design, construction, and maintenance. In this framework, the present work proposes a novel AI computer vision methodology for automatically identifying the corrosion phenomenon on roofing systems of large-scale industrial buildings. The proposed method can be incorporated into computational packages for easier integration by the industry to enhance the inspection activities’ performance. For this purpose, a dedicated image database with more than 8k high-resolution aerial images was developed for supervised training. An Unmanned Aerial Vehicle (UAV) was used to acquire remote georeferenced images safely and efficiently. The corrosion anomalies were manually annotated using a segmentation strategy summing up 18,381 instances. These anomalies were identified through instance segmentation using the Mask based Region-Convolution Neural Network (Mask R-CNN) framework adjusted to the created dataset. Some adjustments were performed to enhance the performance of the classification model, particularly defining an adequate input image size, data augmentation strategy, Intersection over a Union (IoU) threshold during training, and type of backbone network. The inferences show promising results, with correct detections even under complex backgrounds, poor illumination conditions, and instances of significantly reduced dimensions. Furthermore, in scenarios without a roofing system, the model proved reliable, not producing any false positive occurrences. The best model achieved metrics’ values equal to 65.1% for the bounding box detection Average Precision (AP) and 59.2% for the mask AP, considering an IoU of 50%. Regarding classification metrics, the precision and recall were equal to 85.8% and 84.0%, respectively. The developed methodology proved to be extremely valuable for guiding infrastructure managers in taking physically informed decisions based on the real assets condition. © 2023 by the authors.",AI Development and Methods
404,10.12082/dqxxkx.2023.210772,"Geological and mineral resource survey and scientific research in ""geology, geophysics, geochemistry, and remote sensing "" have established a large amount of geological and mineral survey data, which contain rich knowledge related to mineralization and distribution of gold mine, such as the metallogenic and tectonic setting, geological environment of occurrence, geological characteristics of mineral mine, genesis and metallogenic model of mine, and so on. The transformation from massive mineral related data to effective metallogenic knowledge has become one of the most important breakthroughs to improve the accuracy of geological prospecting. To solve this problem, through the in- depth analysis of knowledge representation, information extraction, and knowledge fusion in knowledge engineering, this paper explores the knowledge graph construction method of gold mine based on ontology. Firstly, referring to industry norms, gold mine knowledge base, and reference material of geological and mineral resource exploration, the metallogenic model of gold mine is sorted out, and the gold mine concept, gold mine entity, gold mine relationship, gold mine geological attribute, and gold mine metallogenic attribute are determined. In addition, the schema layer of gold mine knowledge graph is constructed by using the top- down ontology knowledge representation method, which represents the conceptual model and logical basis of gold mine knowledge graph. Secondly, based on structured, semi-structured, and unstructured multi-source heterogeneous geological data, the deep learning model is used to realize gold mine knowledge extraction, semantic analysis, and knowledge fusion, which enriches the data layer of gold mine knowledge graph and provides data support for gold mine knowledge graph. The gold mine knowledge graph is constructed in a bottom- up way, and the gold mine knowledge triplet is stored by Neo4j graph database, in which nodes represent gold mine concept, gold mine entity, and gold mine attribute value, while edges represent relation and attribute. Finally, the gold mine knowledge management system is developed based on the graph database. It can be applied to the management of gold mine data, acquisition of knowledge, visualization representation of gold mine knowledge graph, inquiry of knowledge, management and presentation of knowledge base, and other functions well, so as to lay a foundation for the intelligent analysis and mining of geological big data. This study develops a geological prospecting method driven by data and knowledge, and provides a reference for identifying, controlling, and managing mineral resources, which can improve the prospecting accuracy in geological exploration. © 2023 Journal of Geo-Information Science. All rights reserved.",Not Related
408,10.1061/JMENEA.MEENG-5213,"Women are significantly underrepresented in construction and engineering industry leadership roles despite having comparable qualifications, experience, and degrees. Improvements require a better understanding of the factors leading to the underrepresentation of females in the construction industry. While prior studies report that a male-dominated culture in construction negatively impacts females' career advancement, minimal research explores the role congruity theory and the likeability and competency dilemma among construction leaders. When striving to succeed in traditionally male-dominated fields, women face a unique challenge because they need to defy gender stereotypes created by cultural norms, encapsulated by the likeability versus competency dilemma. Females who accomplish traditionally male tasks and demonstrate independence, assertiveness, self-reliance, and power are no longer seen as likeable. Through analyzing publicly available LinkedIn recommendations, this paper proposed a data-driven approach for examining the likeability and competency dilemma for female construction leaders. Results showed that female leaders in construction were seen as competent in the same way as their male counterparts, but far less likeable (a likeability score of 28% compared to 51% for males). Developing a text mining model to predict the gender of the person receiving a recommendation, this paper also highlights unconscious bias in describing and reacting to leaders' successes. The machine learning model accurately predicted the gender of the person receiving the recommendation with more than 86% accuracy. Despite possessing the sufficient capability to handle traditionally male work successfully, women receive negative judgment from colleagues, creating challenges in their career paths. Finally, the paper contributes to social role theory and role congruity theory by highlighting the differences in gender roles and leadership roles for women in the construction industry.  © 2023 American Society of Civil Engineers.",AI Development and Methods
410,10.3390/buildings13030659,"Mature civil engineering software and platforms can provide a dynamic correlated situation of the road design, generate a quick and accurate grading design in terrain model making, and, most importantly, improve the design efficiency and calculation accuracy and reduce the workload of designers in the construction project. However, the application of existing platforms in complex site engineering for the design of ski tracks has not been well developed. The design process of ski tracks requires consideration of elaborate requirements in complex environmental conditions. In this study, we aim to simplify digital elevation model (DEM) data, optimize ski track contour lines, and localize the design expression of the ski track designs based on the experience of the construction of the National Alpine Ski Center in the Yanqing Competition Zone for the Beijing 2022 Winter Olympic Games. This study examines the feasibility of the optimal digital approach combining mathematics and computer science based on the case study of the warm-up and training ski track of the south area in the Yanqing Competition Zone. This study will contribute to the optimal design of skiing tracks in construction projects and help to improve designers’ workload efficiency for the design and construction of ski tracks in the future. © 2023 by the authors.",Not Related
413,10.3390/jmse11040803,"With the rapid development of the construction industry, tower cranes are increasingly used in coastal engineering. However, due to the complexity of their operating environment, tower cranes are vulnerable to typhoons, thunderstorms, and other extreme natural disasters. Therefore, it is becoming increasingly important to carry out safety warnings for the tower crane structure under the action of strong winds. In this paper, a real-time monitoring system for tower responses based on the Internet of things (IoT), which realizes long-term monitoring of the whole process of tower crane operation, was built. Based on the long-term monitoring data and the machine learning algorithm, two tower response prediction models were established. During the transit of super typhoon In-fa, the maximum displacement of the tower structure was predicted in advance, based on the measured wind speed data at the site, which is in good agreement with the displacement data monitored by the IoT. The results show that under strong winds, the non-working tower has a response lag, resulting in the fact that its maximum displacement does not correspond to the maximum wind speed moment at the site. This is mainly due to the weathercock effect of the tower in the non-working condition. The prediction model proposed in this paper can provide timely and effective safety warnings for the tower structure. It also can provide useful engineering references and scientific structural safety warning suggestions for the same type of tower cranes that do not have IoT monitoring systems installed. © 2023 by the authors.",AI Development and Methods
415,10.1016/j.compind.2023.103883,"Machine learning (ML) has been recognized by researchers in the architecture, engineering, and construction (AEC) industry but undermined in practice by (i) complex processes relying on data expertise and (ii) untrustworthy ‘black box’ models. As a result, ML results of complex non-linear AEC problems, such as the failure mechanism of reinforced concrete (RC) shear walls, are not comparable with empirical and mechanics-based models. This paper aims to integrate automated ML (AutoML) and interpretability analysis to study the failure mechanism of RC shear walls. In this study, we collected a dataset of 351 comprehensive samples for the failure mode identification of RC shear walls. First, the AutoML model trained using the dataset outperformed a set of conventional ML methods in terms of the F1 accuracy score. Then, three model-agnostic interpretability analysis methods confirmed the trustworthiness of the AutoML model. The contribution of this paper is three-fold. First, AutoML sheds light on the automatic identification of failure modes of RC shear walls. Second, the interpretability analysis can validate ‘black-box’ ML models against long-established domain knowledge in solving non-linear AEC problems. Third, for AEC industrial practitioners, the whole process is automatic, accurate, less reliant on data expertise, and interpretable. © 2023 Elsevier B.V.",AI Development and Methods
416,10.1016/j.autcon.2023.104804,"Study area of process mining exhibits great potential in explaining the design performance and behavior pattern in architecture, engineering and construction industries based on event data. However, research into creativity-related behavior pattern in sustainable building design through process mining remains blank. With the global climate change and energy crisis, creativity-driven problem-solving design process is becoming crucial. Based on >41-million lines of event data from 115 participants from a green building design competition, this study explored four dimensions on creative design behavioral pattern: 1) frequently used commands; 2) frequently used objects; 3) duration of used commands and 4) experience with the tool. Secondly, this study establishes and trains artificial neural network models according to the four dimensions to evaluate level of creativity of design works. Training results prove the effectiveness of the discoveries and realize a preliminary screening on creativity for large amount of data in sustainable building design. © 2023",AI Development and Methods
417,10.1016/j.asej.2022.101881,"Building Information Modeling's popularity has recently exploded in the public construction industry. In many countries, the critical success of any engineering project depends up on the integration of information. BIM is widely implemented in the construction industry in developed countries. In the architecture, engineering, and construction (AEC) industry, developing countries are attempting to follow up the newly established processes and technology. Thus, this study aims to investigate the BIM level in Iraqi construction and the main barriers and constraints to implementing such technology. A literature review, and a structured questionnaire was conducted to determine the current situation of BIM in Iraqis’ AEC. The questionnaire was circulated to the governmental and non-governmental sectors. The analyzed data, that were obtained using Microsoft Excel and Statistical Packaging for Social Science (SPSS), indicated that most participants were using traditional methods and 2D drawings in their designs. This leads to confirm that BIM in Iraq is at level (0). Furthermore, twelve barriers were selected, and the results showed that the highest three ranked barriers in adopting BIM according to the mean score were “Lack of BIM experts”, “Lack of BIM awareness” and “Traditional methods of contracting” with the mean value of 3.78, 3.65 and 3.64 respectively. The obtained results were compared and discussed with the previous researches. Therefore, authorities should put more effort into overcome these obstacles in order to enhance Iraq's AEC industry and use BIM methodologies in the Iraqi construction industry sector. © 2022 THE AUTHORS",Not Related
418,10.1016/j.jmrt.2023.04.223,"The significant requirement for natural resources, specifically as ingredients of cement, is accelerating due to the considerable growth of the construction sector. Further, cement production adversely affects climate change due to the generation of bulk CO2 emissions. At the same time, a significant quantum of ceramic waste is generated either in the ceramic production process or due to the demolition of ceramic products each year. The unavailability of an adequate way to dispose of this ceramic waste negatively impacts the environment and landfills. Numerous researchers have explored the potential of utilizing this ceramic waste powder as a partial cement replacement to reduce the allied issues. Hence, in the current study, the supervised machine learning (ML) algorithms, i.e., Decision Tree (DT), AdaBoost (AdB), Bagging (Bg), Random Forest (RF), Gradient Boosting (GB) and XGBoost (XGB) are employed for predicting the Compressive Strength (CS) of ceramic waste powder concrete (CWPC). The performance of models is also assessed by using the coefficient of determination (R2), Mean Absolute Error (MAE), Root Mean Square Error (RMSE), and Nash Sutcliffe efficiency (NSE). The k-fold cross-validation technique is applied afterwards to validate the model's performance. For predicting the CS of CWPC, the RF algorithm is the most effective among the employed algorithms, with a higher R2 value of 0.97 and significantly lesser RMSE and MAE values of 1.40 and 1.13, respectively. SHAP analysis shows that the curing days feature has the highest influence on the CS of CWPC. As per quantitative Environmental Impact Assessment (EIA), the concrete with 10% CWP content can have 6.78%, 8.68%, 7.18%, and 7.19% reduced impacts on natural resources, climate change, ecosystem quality, and human health, respectively. Moreover, the effects on non-renewable energy resources, depletion of the ozone layer, and global warming can also primarily be reduced by a maximum of 7%, 6%, and 9%, respectively. The application of ML techniques for estimating the CS of CWPC would benefit the field of civil engineering in terms of conserving resources, effort, and time. © 2023 The Authors",AI Development and Methods
421,10.1016/j.autcon.2023.104782,"Technological interoperability is a driver for seamless data and information exchange between project team members in the Architecture, Engineering, and Construction (AEC) industry. It is defined as the ability of different systems to exchange information with minimum loss. Therefore, interoperability lack is often a barrier in modern construction applications, such as robotics. Construction and robotics, seen from their respective areas, are highly divergent in context, organization, procedures, and technologies. However, both paradigms use computation, which gives computational systems the potential to enable construction robotics. This research is based on the Design Science Research (DSR) methodology and aims to develop a framework for operationalizing industrial robots in construction. To this end, it uses Computational Design (CD) driven by Building Information Modeling (BIM) for Robotic Manufacturing (RM) within Off-Site Construction (OSC) systems. This technological alignment allowed the development of an integrated Design-to-Manufacturing (DtM) framework, validated by 16 evaluators. © 2023 Elsevier B.V.",Not Related
422,,"Building Information Modelling (BIM) is said as an evolving and transformative technology that has revolutionised innovation within the Architecture, Engineering, Construction, and Operation (AECO) industry. The fundamental premise of BIM revolves around facilitating collaboration across diverse project teams throughout the entirety of a project's lifecycle. Despite the Malaysian construction industry's ambitions to integrate BIM into public projects exceeding RM10 million in value, the utilisation of BIM remains vague in public projects financed by the Royal Malaysia Air Force (RMAF) and overseen by the Malaysian Public Works Department (PWD). As a result, the primary objective of this paper is to investigate the present awareness of BIM among project teams within the RMAF. A survey in the form of a questionnaire has been disseminated to project teams engaged in public building projects across Malaysia, funded by the RMAF. This research adopted descriptive data analysis using a combination of manual calculation of maturity level score and Statistical Package for the Social Sciences (SPSS). Findings indicate a significant majority of project teams within the RMAF exhibit limited awareness of BIM implementation. Consequently, further investigation is needed to examine the underlying factors contributing to this conspicuous lack of awareness within the teams, with corresponding suggestions for enhancement. From there, this could help public officers like RMAF to have a better awareness of how to adopt modern construction practices which enhance a country's standing on the global stage. © 2023, Construction Research Institute of Malaysia. All rights reserved.",Not Related
423,10.13475/j.fzxb.20220804308,"Objective In order to improve the quality of textile products, increase economic benefits, and reduce production costs in order to improve production efficiency, it is of great significance to achieve intelligent detection of fabric defects. A fabric defect detection method based on deep-belief network (DBN) is proposed, and the deep-belief network is trained by the improved restricted Boltzmann machine model to complete the construction of model recognition parameters, which can not only independently extract fabric image data features, screen effective information for transmission, but also have a short training time and fast model convergence speed. Method In order to make the best training effect of the model, this paper enriches the samples by using the data augmentation method to meet the training requirements of the DBN model. The homomorphic filtering method is used to preprocess the image to reduce the low frequency and increase the high frequency, and sharpen the details of the image edges, making the defective image clearer and suppressing the background image. In order to solve the overfitting problem of the model and improve the generalization ability of the model, the DBN-Dropout model is used to set the output information in the network to 0, the contrastive divergence method is employed to initialize the visual layer of the training sample, the activation probability of neurons in the hidden layer of the model is calculated, and the activation status of neurons in the hidden layer and the visual layer is assessed. In Python language, a DBN model is built based on the TensorFlow framework, and the learning samples are obtained by processing the fabric defect images. In the weft knitting laboratory of the Knitting Engineering Technology Research Center at Zhejiang Sci-Tech University, the area scan CCD camera was combined with the 6 mm focal length lens (FL-HC0614-2M) produced by Ricoh Corporation of Japan, and 200 images were collected of different types of plain weft knitted fabrics produced by the RFSM20 high-speed seamless underwear machine developed by Zhejiang Rifa Textile Machinery Co., Ltd., including 50 images of normal flawless fabrics and 150 images of fabrics with various defects. The collected fabric image samples were grayscale images with a size of 512 pixelsX 512 pixels, and the 100 fabric images collected were detected by the DBN model. Results Cross-entropy and Adam were used as loss functions and optimizers respectively, the activation function, loss function and optimizer of the model were studied with the fabric defect dataset, and then the activation function, Dropout value, learning rate and training batch number of the model were analyzed with the fabric defect dataset. The activation function was a Relu function, whose Dropout value was 0.3, pre-training learning rate was 0. 1, fine-tuning learning rate was 0.000 1, and batch training number was 64, model and the parameter values were optimal. 512 pixel X 512 pixel fabric images were used to conduct experiments in MatLab2019b environment, and the results of the experiments on the TILDA dataset using particle swarm optimization (PSO) -BP neural network and local contrast deviation method were compared with the algorithm proposed in this paper, and it is concluded that the proposed deep-belief network has better detection results and clearer target contour recognition for fabric defect detection under complex background than the other two methods. In order to evaluate the applicability of this algorithm, defect images weft knitted fabrics with different types of defects were used for detection. For the practical testing of 100 pictures, the experimental results were combined with the detection effect chart, which showed that the algorithm introduced in this paper has good detection results for fabric holes, oil pollution and yarn breaking defects, and its detection accuracy rate reaches 98%, which verifies the algorithm's adaptability, effectiveness and accuracy for fabric defect detection. Conclusion The experimental results show that the DBN network model has a good detection effect on fabric defects, which can not only identify the shape and outline of fabric defects, but also detect different types of fabric defects, which shows the effectiveness of the algorithm. © 2023 China Textile Engineering Society. All rights reserved.",Not Related
426,10.24887/0028-2448-2023-11-50-55,"Digital transformation and artificial intelligence (Al) play a special role in mod-ern industry. They allow expanding the functional completeness of traditional methods, technologies and software tools, developing new methods based on intelligent computing technologies, and creating new data models de-signed for multidimensional data analysis, modeling and forecasting. Active application of these solutions is observed in the processes of monitoring, evaluating, making design and management decisions, performing time-con-suming and multifunctional tasl<s and analyses. The Al introduction in the oil and gas industry improves the efficiency of design processes and increases the productivity of applied technologies. The article discusses the possibilities of using Al methods for planning, de-sign, development, forecasting and achieving high results in the field of oil and gas production. Such methods can significantly reduce costs during the design, construction and operation of oil and gas fields by increasing the pro-ductivity and speed of project work improving the quality of work performed and significantly reducing the number of design errors and their timely correc-tion. Al methods are able and allow to increase the level of safety and man-age environmental research and natural resources more effectively by elimi-nating the human factor in monitoring and forecasting processes. Al tools make it possible to increase the efficiency of the use of labor and financial re-sources, reduce time costs, and optimize production processes during the hydrocarbons extraction. Al tools are used to interpret the results of 3D de-sign and laser scanning, in engineering geology and geodesy, environmental surveys, designing highways and linear objects and solving organizational and managerial tasks in the design and construction of oil and gas facilities. The authors of the article systematized the Al capabilities, methods and in the field of oil and gas production, and showed the possibilities to improve design and survey work through Al use. The ways to further innovative de-velopment of Al tools are suggested as a key direction of digital transforma-tion of the oil and gas industry. © Team of authors, 2023.",Not Related
428,,"The spread of new coronavirus has led to the widespread use of remote work and remote inspections, and the construction industry is rapidly becoming more digitalized. The Ministry of Land, Infrastructure, Transport and Tourism (MLIT) has decided to bring forward the adoption of BIM/CIM, the core of digitalization, from the originally planned FY 2025 to FY 2023. JFE Engineering is also working on the development of various ICT technologies to improve the productivity of construction sites. This paper outlines the digital bridge construction system that JFE Engineering currently develops, which links BIM/CIM, ICT, and AI technologies. Copyright © 2023 JFE Steel Corporation. All Rights Reserved.",Not Related
429,10.1007/978-3-031-29016-9_38,"In order to improve the ecological evaluation level in practice education under the background of advanced modern man–machine intelligence, and enhance the ecological construction ability of the combination of industry and teaching practice. in practice and engineering education under the background of advanced modern man–machine intelligence, a design method of the combination of industry advantages of educational resources engineering education based on association rules is proposed. Based on JBPM (JBoss Business Process Management, JBPM) workflow engine framework, this paper designs an integrated ecosystem of production, education and practice and engineering education under the background of advanced modern man–machine intelligence, the information characteristics of advanced modern man–machine intelligence is analyzed by using association rule mining algorithm, and realizes the system integration structure of advanced modern man–machine intelligence by adopting the method of comprehensive practice system construction of data exchange and collaborative office and ecological construction integration is taken. A variety of web data formats are adopted to realize the data loading and program compiling control of the integration of production, and it is connected to the practice and engineering education and employment management system of the school to realize network management. The test results show that under the background of advanced modern man–machine intelligence, the integrated ecosystem of production, education and practice and engineering education has high stability and reliability. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Not Related
432,10.1016/j.procs.2023.11.136,"Research background: With the development of science and technology and the intelligence of the construction industry, the traditional extensive construction method can no longer meet the social demand for safety, which requires the construction enterprises and construction units to constantly change the safety management mode. With the advancement of urbanization, intelligent management and control has become the future development direction of the construction industry, and BIM software has also become an important synchronization platform, which will continuously improve the promotion of the overall project and the management of construction safety. Research methods: This paper mainly uses literature survey, quantitative and qualitative analysis, empirical analysis and other methods, which can study the construction safety management and intelligent management and control as a whole. Through literature survey, this paper has obtained a large amount of literature, which can enrich theoretical analysis and comprehensively understand the current construction safety management mode and intelligent management and control mode. Through relevant theories, this paper can fully demonstrate the follow-up research and empirical analysis. Through quantitative and qualitative analysis method, this paper can use statistical analysis method to analyze construction safety accident data, which will analyze the internal relationship through relevant software. Therefore, the quantitative and qualitative analysis method provides important data support for the subsequent research, which can provide statistical methods for the analysis of building safety hazard sources. Through the empirical simulation method, this paper can analyze specific projects with real cases, which will truly simulate the intelligent monitoring system. Through the empirical simulation method, this paper can verify the scientific nature of the algorithm, and can also demonstrate the management and control mode of the intelligent monitoring system. Research conclusion: Through BIM and RFID, this paper builds an intelligent monitoring system, which also builds the information collection, processing and application stages of the overall framework, and realizes the intelligent management and control of the future construction safety. © 2023 Elsevier B.V.. All rights reserved.",Uncertain
433,10.1007/s12145-023-00969-x,"Uniaxial compressive strength (UCS) is a crucial mechanical parameter in the mining, construction, and petroleum industries. However, determination of the UCS is very tough, expensive, time-consuming, and destructive, requires expert workers for sample preparation, and cannot be determined in the field. As a result, prior researchers have employed different indirect proxy tests to estimate the UCS indirectly. Among these indirect tests, determining density (ρ) is the cheapest, simplest, non-destructive, and does not require sample preparation; also, ρ can easily be determined in the field. Therefore, the correlation between UCS and ρ has been rigorously studied in this paper. A total of 800 data points from 26 previous studies were incorporated and lithology based characteristic simple regression (SR) equations for six rock types (pyroclastic, sandstone, shale, carbonate, plutonic and volcanite) have been proposed. UCS can easily be estimated using the proposed regression equations for the six rock types, which will be helpful in geotechnical and geological engineering projects. The lithological control on the correlation for each rock type has also been validated using principal component analysis (PCA) and descriptive statistics. The obtained database was also used to classify the six rocks on the basis of UCS and ρ as per International Association of Engineering Geologist (IAEG) classification. Soft computing method of artificial neural network (ANN) was also used to estimate the UCS using two ANN models (ANN-1 and ANN-2). Finally, the estimated values of UCS from SR and ANN models were analysed in 1:1 measured vs. estimated plot and statistically assessed. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",AI Development and Methods
435,10.1016/j.ssci.2023.106138,"Machine learning algorithms are capable of handling complex non-linear problems related to the prediction domain, but further exploration is required for automated, semi-supervised outcome prediction of occupational accidents employing unstructured textual data. It has been demonstrated that the injury severity can be predicted from the equipment, scenario and environmental attributes in the workplace, so this paper aims to enhance text data pre-processing and optimize machine learning algorithms to create an attribute factor-based occupational accident severity prediction framework, mapping characteristic attributes to accident severity categories (i.e., casualties and property damage). The reliability validation of the prediction framework and analysis of critical attribute components are performed using the collapse accidents data in construction engineering as a case study, which is the third most serious occupational problem. The findings indicate that the dataset obtained after addressing the class imbalance issue and improving the text segmentation procedure can be utilized as a training sample to accurately predict injury severity. The accuracy of the prediction model is evaluated in three simulated scenarios, and it can reach 82%, confirming the robust performance of the prediction model based on RF machine learning. Additionally, the outcomes of the measured ranking of feature importance enable the identification of critical attributes that can credibly explain the causal relationships resulting in injury severity findings, and provide managers with accident prevention strategies to minimize occupational injuries and losses. © 2023",AI Development and Methods
436,10.1016/j.procs.2023.11.126,"With the development of digitalization in the construction industry, the complexity of construction projects is increasing. In response to the widely valued cost and quality management of construction projects, improved algorithms based on machine vision learning can effectively cope with the increasingly complex cost prediction of construction projects. In the entire model design, how to complete the selection and processing of key indicators for construction projects is currently a key issue that needs to be urgently solved. This article studied the use of TSNE (T-Distributed Stochastic Neighbor Embedding) and improved grey correlation algorithm to design a cost prediction model, aiming to improve the prediction accuracy of construction project costs and reduce system prediction time. This article analyzed the cost index system and simulation experiments of construction projects, applied machine learning based TSNE and improved grey correlation algorithm, combined index dimensionality reduction processing and construction project unit test set samples, and discussed the following conclusions based on the data results: In the context of intelligent large-scale infrastructure, the construction project cost prediction model using TSNE and improved grey correlation algorithm had higher prediction accuracy than traditional prediction methods in all construction project samples, with an average improvement of 5.1%. At the same time, in terms of model prediction efficiency, the improved algorithm was better than traditional prediction methods, with an average improvement of 12.75%. This indicated that the construction project cost prediction model based on TSNE and improved grey correlation algorithm has a relatively good prediction effect overall. © 2023 Elsevier B.V.. All rights reserved.",AI Development and Methods
437,10.1002/suco.202300245,"Reinforced concrete structures can experience various harsh environments during their service life, among which chloride ion exposure, especially in marine environments, can cause the durability reduction and deterioration of concrete structures. Artificial intelligence (AI)-based modeling of the non-steady-state apparent chloride diffusion coefficient (DC) of concrete for a long exposure time using the experimental field results can assist in identifying the influential factors and better estimating the service life of a concrete structure. In this study, two novel extensions of ensemble AI algorithms, including genetic programming forest (GPF) and linear genetic programming forest (LGPF) algorithms, were proposed to model the DC of concrete. The experimental field data were gathered from the literature. Different structures of the proposed ensemble methods were developed and examined, and the best-developed model was selected for further analysis, including sensitivity analysis and parametric study. In addition, the random forest (RF) method was used as the control ensemble technique to have a comparison. The results show that the best LGPF model possesses superior performance than the best-developed GPF and RF models. In addition, the results show that silica fume-to-binder ratio, exposure time, and exposure conditions have the most significant impacts on the DC of concrete. This study contributes to the civil engineering practice by developing a new tool to model the DC of concrete that facilitates the durability assessment of concrete structures. © 2023 The Authors. Structural Concrete published by John Wiley & Sons Ltd on behalf of International Federation for Structural Concrete.",AI Development and Methods
441,10.11743/ogg20230102,Exploration and development of deep and ultra-deep carbonate reservoirs have been a hot and key research topic in the industry. Accurately depicting the spatial distribution and physical property parameters of the reservoirs has been a major challenge for an efficient oil and gas exploration and development. Based on an analysis of current development of reservoir geological analysis，logging evaluation，seismic prediction，geological modeling and other related technologies，this study is focused on figuring out the development mechanisms and distribution patterns of high-quality deep carbonate reservoirs by overcoming the data issues（scarcity，low quality and inaccuracy）and the high heterogeneity nature of the reservoir. A series of key technologies for characterization and modelling of the deep carbonate reservoirs have been developed，including technologies for construction of multi-scale and multi-attribute deep carbonate reservoir knowledge base；new technologies for geological analysis such as macroscopic to microscopic geological observation，in-situ micro-area qualitative and quantitative analysis for reservoir sedimentation and diagenetic environment，experiment and numerical simulation technologies for mechanism and process of reservoir development；new logging interpretation technologies，such as reservoir type identification and quantitative parameter evaluation based on global logging simulation，and sedimentary microfacies identification based on machine learning；new seismic prediction methods，such as seismic petrophysical modeling，machine learning technologies for rock physics guided reservoir parameter prediction and uncertainty evaluation；new geological modeling technologies such as new algorithm of multipoint geostatistics，geological process simulation，and geological modeling based on artificial intelligence. The technological processes of geological modeling of carbonate reservoirs under the control of karst unconformity，fault and sedimentary facies have been established respectively and applied to oil and gas reservoirs in Tahe，Shunbei and Yuanba blocks in the Tarim Basin and the Sichuan Basin，providing scientific basis for exploration and development deployment. The future research direction of geological modeling for deep and ultra-deep carbonate reservoirs is also predicted：updating geological knowledge base to support geological modeling；expanding the modeling technology based on geological process and improving its application；developing geophysical interpretation and prediction technologies based on artificial intelligence to improve the ability to depict complex reservoirs；developing new modeling methods based on artificial intelligence to continuously improve the accuracy of reservoir characterization and the reliability of models；and establishing rapid updating technology of geological models for deep reservoirs to continuously improve the efficiency and accuracy of model updating. © 2023 Editorial Department of Oil and Gas Geology. All rights reserved.,Not Related
444,10.1016/j.dib.2023.109063,"The Architecture, Engineering and Construction (AEC) sector currently exhibits a significant scarcity of systematised information in databases (DB). This characteristic is a relevant obstacle to implementing new methodologies in the sector, which have proven highly successful in other industries. In addition, this scarcity also contrasts with the intrinsic workflow of the AEC sector, which generates a high volume of documentation throughout the construction process. To help solve this issue, the present work focuses on the systematisation of the data related to the contracting and public tendering procedure in Portugal, summarising the steps to obtain and process this information through the use of scraping algorithms, as well as the subsequential translation of the gathered data into English. The contracting and public tendering procedure is one of the most well-documented procedures at the national level, having all its data available as open-access. The resulting DB comprises 5214 unique contracts, characterised by 37 distinct properties. This paper identifies future development opportunities that can be supported by this DB, such as the application of descriptive statistical analysis techniques and/or Artificial Intelligence (AI) algorithms, namely, Machine Learning (ML) and Natural Language Processing (NLP), to improve construction tendering. © 2023",Not Related
445,10.3390/f14071510,"Wood material is the foundation of wood structure architecture, and its production technology and equipment technology decide the development and upgrading of modern wood structure architecture. Aiming at the problems of low automation degree, low material utilization rate, low production efficiency and high labor costs in the process of traditional wood processing, we explore the integration and innovation of the traditional wood processing industry and modern industrial Internet information technology on the basis of studying the properties of Betula (Betula costata) solid wood materials, wood comprehensive utilization rate, wood structure component development and processing technology requirements, and form an intelligent, automatic and industrial production mode for building materials. Through technology and methods such as mechanical design, automation technology, machine vision, deep learning, optimization algorithm, electronic design automation, computer aided manufacturing, etc., the key technologies of intelligent automatic optimization of wood materials were studied, and intelligent automatic production lines of Betula species identification, log optimization sawing, solid timber longitudinal multiblade sawing, sawn timber quality detection and solid timber optimizing cross-cuts are built. Based on the machine vision method, features are extracted; a tree species, defect classification and recognition model database is established; an image processing algorithm with high recognition accuracy, as well as fast processing speed and high robustness are studied; non-destructive testing and classification methods of machine vision are optimized; key problems of online rapid classification, detection and optimization of sawing are solved and production quality and processing efficiency are improved. Finally, the timber defect detection accuracy and Betula timber yield are analyzed, and the comprehensive utilization value of optimized sawing timber is compared with the comprehensive utilization value of manually marking sawing timber. The processing cost and efficiency of Betula sawing timber with an intelligent automatic production line are calculated. The test results show that the average detection accuracy of timber defect type, size and location is 89.69%, 89.69%, 92.25% and 82.29%, respectively, and the detection stability is high. By adopting intelligent automatic detection, classification and optimization sawing production line of wood, the comprehensive utilization value of optimized sawing timber is 14.13% higher than that of manual marking sawing timber, and 16,089.29 m3 more building materials can be processed annually. In the process of intelligent automatic wood processing, the intelligent detection system is used to detect defects, improve production performance and production efficiency and reduce labor costs. Compared with the traditional wood processing process, the method studied in this paper is improved to optimize the production line processing performance and processing technology. The research and development of an intelligent automatic production system for solid wood can promote the application and development of an automatic industrial production mode for sawn timber for the wood structure construction industry, deepen the integration of artificial intelligence technology, Internet technology and the whole wood processing industry and lead the upgrading of building materials for wood structures to an intelligent manufacturing production mode. © 2023 by the authors.",AI Development and Methods
