row,DOI,H_S,H_R,H_M,AI_GPT-5 Full,CONF_GPT-5 Full,REASON_GPT-5 Full,AI_GPT-5 mini,CONF_GPT-5 mini,REASON_GPT-5 mini,AI_Gemini Pro,CONF_Gemini Pro,REASON_Gemini Pro,AI_Gemini 2.5 Flash,CONF_Gemini 2.5 Flash,REASON_Gemini 2.5 Flash,reason_excl_R,benchmark,tier,n_labels,top_n
161,10.1016/j.jclepro.2024.141947,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.9,"The paper proposes an intelligent, interpretable multi-objective design framework for self-compacting concrete by combining machine learning with optimization, explicitly using Partial Dependence Plots for model interpretation and addressing multiple performance objectives (sustainability, rheology, workability, strength, durability, cost). This is a construction-specific AI/ML method development rather than an adoption study or purely economic analysis.",AI Development and Methods,0.91,"Abstract describes development of an 'intelligent and interpretable approach' combining machine learning and an optimization algorithm for multi-objective SCC (sustainable, rheology, workability, strength, durability, cost) design, uses Partial Dependence Plots for model interpretation, and proposes a versatile intelligent framework—all indicating algorithm/method development tailored to construction material design.",AI Development and Methods,5.0,"The abstract focuses on proposing an 'intelligent and interpretable approach for multi-objective low-carbon SCC design' by 'combining machine learning and optimization algorithm'. The core contribution is the development of a 'versatile intelligent framework' tailored to the specific construction problem of concrete mixture design, which is a clear example of AI method development.",AI Development and Methods,0.95,"The abstract proposes an ""intelligent and interpretable approach"" combining ""machine learning and optimization algorithm"" to ""establish a versatile intelligent framework"" for ""multi-objective low-carbon SCC design."" This directly aligns with designing or advancing AI/ML algorithms and computational approaches tailored to a construction-related problem.",,AI Development and Methods,Majority 3-0,3,3
162,10.1016/j.ifacol.2024.07.167,AI Adoption Factors,,,Not Related,0.78,"The abstract centers on workforce competencies and education needs for Industry 4.0/Society 5.0 in the construction sector, based on a survey of industry partners. AI is only mentioned peripherally as part of ""advanced computer/IT skills (AI)"" among broader digital skills (critical thinking, systems/analytical thinking, information management, security). There is no substantive discussion of AI/ML applications, methods, adoption studies, performance evaluation, or economic impacts specific to AI in construction.",AI Adoption Factors,0.86,"Abstract reports a survey of construction industry stakeholders identifying missing digital competencies and training needs (critical thinking, information management, advanced computer/IT skills including AI) and emphasizes preparing employees for Industry 4.0/Society 5.0—i.e., workforce readiness and skills as factors influencing adoption of digital/AI technologies.",AI Adoption Factors,5.0,"The abstract focuses on the challenges on the 'human resource side' for adapting to new digital technologies. It identifies the 'lacking appropriate competencies (critical thinking, systems and analytical thinking, information management, advanced computer/IT skills (AI), ensuring security)' in the construction industry's workforce as a key barrier, which is a direct factor influencing the adoption of AI.",AI Adoption Factors,0.9,"The abstract discusses the challenge of preparing employees to adapt to Industry 4.0 and Society 5.0 requirements in the construction sector, identifying 'advanced computer/IT skills (AI)' as a key competency companies mostly miss. This directly addresses human resource challenges and skill gaps, which are crucial factors influencing the adoption of AI in the industry.",,AI Adoption Factors,Single label,1,1
163,10.21511/kpm.08(2).2024.09,AI Performance Evaluation,AI Performance Evaluation,AI Performance Evaluation,AI Adoption Factors,0.73,"The study surveys project managers across seven industries including construction to assess how AI adoption in project management affects efficiency. It analyzes adoption rates by industry and performance domains, identifies key AI technologies used (decision-making systems, process automation, voice technologies), and links higher AI adoption to higher efficiency. These cues indicate a focus on AI adoption patterns and their effects rather than algorithm development or system benchmarking, with explicit inclusion of the construction sector.",AI Adoption Factors,0.92,"The abstract reports a cross-industry survey (159 project supervisors/managers) examining AI adoption rates and how adoption relates to project efficiency, notes variation in AI use across industries (software, construction, scientific highest; tourism lowest), and identifies key AI technologies used (decision‑making systems, process automation, voice). This focus on adoption patterns, usage differences, and effects on project performance aligns with factors influencing AI adoption rather than algorithm development, benchmarking, or purely economic analysis.",AI Performance Evaluation,5.0,"The study's main objective is to 'assess how AI adoption in PM affects project efficiency.' It directly evaluates the performance of projects by comparing the efficiency scores of projects with higher AI adoption rates to those with lower rates, using real-world survey data from industries including construction. This aligns perfectly with benchmarking and validating AI systems against performance metrics.",AI Adoption Factors,0.95,"The abstract explicitly states its aim is to ""assess how AI adoption in PM affects project efficiency"" and finds that ""Projects with higher AI adoption rates showed higher efficiency scores."" This directly aligns with exploring 'benefits/enablers (e.g., efficiency gains)' related to AI adoption, as defined in the 'AI Adoption Factors' category.",,AI Performance Evaluation,Majority 3-0,3,3
164,10.1108/CI-10-2022-0279,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Performance Evaluation,0.86,"The study benchmarks multiple ML models (Elastic-Net, ANN, Eureqa, Extra Trees) for forecasting residential construction demand in Jordan, comparing their accuracies using R² and real residuals. Phrases like “evaluate the use of several machine learning (ML) algorithms,” “compared based on the coefficient of determination,” and reported accuracies (0.838 vs 0.727, etc.) indicate a performance comparison of AI methods within a construction context.",AI Performance Evaluation,0.92,"The abstract evaluates multiple machine learning algorithms (Elastic-Net, artificial neural network, Eureqa, Extra Trees) to forecast residential construction demand and compares their accuracy using the coefficient of determination, reporting best-performing model results and a 2023 Q1 forecast. The focus is benchmarking/validation of ML models for a construction forecasting task, which matches AI Performance Evaluation.",AI Performance Evaluation,5.0,"The abstract's stated purpose is to 'evaluate the use of several machine learning (ML) algorithms' for demand forecasting. The methodology section describes comparing the models' accuracy using the 'coefficient of determination', and the findings explicitly rank the performance of different algorithms (Elastic-Net, artificial neural network, etc.) based on their measured accuracy scores.",AI Performance Evaluation,0.95,"The abstract explicitly states the study aims to 'evaluate the use of several machine learning (ML) algorithms to forecast demand' and describes the methodology as comparing 'ML predictions with real residual values and compared based on the coefficient of determination'. The findings directly compare the 'highest accuracy' of different ML algorithms, which aligns with benchmarking and validating AI/ML systems against data.",,AI Development and Methods,Majority 3-0,3,3
165,10.1016/j.measurement.2024.114123,,Not Related,Not Related,Not Related,0.93,"The abstract focuses on biosensors and biochemistry-related sensing technologies, discussing AI and IoT integration for intelligent biosensors and tools like digital twins, machine vision, and NLP in that context. There is no mention of construction industry applications, construction tasks, or construction-related AI/ML use cases.",Not Related,0.92,"Abstract focuses on biosensors, biomimetic/bioapplicable sensors and the integration of AI/IoT in biochemical sensing and biomedical contexts (mentions biochemical science, biosensors, bio-inspired sensors, digital twins, machine vision, robotics, NLP). It does not address construction industry topics or AI/ML applications within construction, so it is not related to construction research.",Not Related,5.0,"The abstract's focus is on the application of AI to 'biosensors, biomimetic sensors, and bioapplicable sensors' within the context of 'biochemical science and engineering'. It does not mention the construction industry, civil engineering, or any related applications.",Not Related,1.0,"The abstract discusses the integration of AI with sensing technology for the development of 'biochemistry-related sensors,' 'biosensors,' and 'bioapplicable sensors.' There is no mention or implication of the construction industry throughout the text.",,Not Related,Majority 2-0,2,2
166,10.12989/sss.2024.33.5.333,AI Adoption Factors,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.82,"The abstract focuses on designing and applying AI algorithms (deep learning, reinforcement learning, neural networks) to predict and control structural deflection in smart buildings using sensor data, enabling real-time monitoring and self-correction. These are construction-specific computational methods rather than adoption, evaluation, or economic analyses.",AI Development and Methods,0.95,"The abstract describes designing and applying AI algorithms (deep learning, reinforcement learning, neural networks) for predicting and controlling structural deflection in smart buildings, including use of embedded sensors/actuators and real-time prediction/control—focused on algorithmic methods and applications rather than adoption, benchmarking, or economic analysis.",AI Development and Methods,5.0,"The abstract describes the development of a method for creating 'deflection-aware smart structures' by installing and using specific AI algorithms, such as 'deep learning, reinforcement learning, and neural networks', to predict and control structural deflection. This focus on designing an AI-based approach for a specific construction engineering problem fits the 'AI Development and Methods' category.",AI Development and Methods,0.95,"The abstract focuses on applying specific AI algorithms ('deep learning, reinforcement learning, and neural networks') to solve a construction-related problem: 'anticipating and controlling deflection' in 'intelligent structures' by 'continually monitor[ing] and analys[ing] deflection data' from 'embedded sensors and actuators'. This directly aligns with designing or adapting AI methods for a construction application.",,AI Development and Methods,Majority 2-1,3,2
167,10.3390/buildings14040989,,,,Not Related,0.93,"The abstract is a bibliometric review of concrete 3D printing research (materials, process parameters, collaboration networks) using CiteSpace. It discusses automation, digitization, and “intelligent” construction in general terms but provides no substantive focus on AI/ML algorithms, adoption factors, performance evaluation, or economic impacts of AI in construction.",Not Related,0.92,"The abstract is a bibliometric/CiteSpace analysis of concrete 3D printing research (publication counts, collaboration networks, hotspots, evolution) and focuses on materials, process parameters, and technology trends. It only mentions ‘automation, digitization, and intelligence’ as high-level advantages and contains no discussion of AI/ML methods, algorithm development, adoption barriers, performance benchmarking, or economic impacts, so it does not substantially address AI/ML in construction.",Not Related,5.0,"The abstract describes a bibliometric literature review on the topic of concrete 3D printing. Although the technology is framed with terms like 'automation' and 'intelligence', the paper's methodology is a literature analysis using CiteSpace to examine 'number of publications, collaboration networks, research hotspots, and evolutionary trends'. It does not develop, apply, or evaluate any AI or ML methods; its subject is the analysis of research trends in a related field, making the connection to AI peripheral.",Not Related,0.9,"The abstract is a literature review focused on the research progress of 'concrete 3D printing technology,' analyzing aspects like publication trends, materials, and process parameters. While it mentions 'intelligence' and 'intelligent construction methods' as advantages or driving forces of 3D printing, it does not substantially address AI or ML applications in construction. The core research is about 3D printing itself, not about AI/ML developed for or applied to 3D printing.",,,No label,0,0
168,10.1016/j.dibe.2023.100296,AI Performance Evaluation,Not Related,Not Related,AI Development and Methods,0.83,"The paper focuses on methodological integration of causal inference with data-driven models to improve reliability, including guidance on feature selection considering causal relationships and integration with first-principles simulations. It demonstrates this via a case study on energy consumption in building design, a construction-domain application. Cues: “data-driven models,” “causal analysis,” “feature selection… colliders,” “integrating causal analysis… first-principles simulation,” and the building design energy case study.",AI Development and Methods,0.94,"Abstract focuses on methodological integration of causal inference with data-driven models and first-principles simulations for building energy modeling. It discusses feature selection, mitigation of biases/spurious correlations, and proposes routine integration of causal analysis in engineering modeling—all indicating development/adaptation of AI/ML methods rather than adoption, benchmarking, or economic analysis.",AI Development and Methods,5.0,"The paper focuses on improving the methodology of data-driven models by proposing the 'synergetic integration' and 'routine integration of causal inference' to enhance the modeling process. This is a clear focus on advancing AI methods, as demonstrated through a case study on 'energy consumption in building design' to mitigate biases and spurious correlations.",AI Development and Methods,0.95,"The abstract focuses on enhancing 'data-driven models' (a form of AI/ML) by integrating 'causal analysis' to improve their reliability and real-world applicability in 'building design'. Cues like 'synergetic integration', 'causal analysis significantly enhances the modeling process', 'mitigating biases and spurious correlations', and 'feature selection should involve careful consideration of causal relationships' indicate a focus on advancing AI/ML methodologies.",,Not Related,Majority 2-1,3,2
169,10.1108/ECAM-08-2022-0798,,,,AI Adoption Factors,0.69,"The abstract presents a bibliometric review examining the use and potential benefits of digital technologies in construction safety, explicitly highlighting AI and machine learning as trending technologies alongside BIM, sensors, and wireless tech. It discusses usage patterns, integration (e.g., BIM with sensors), country variation, and observed benefits, indicating attention to factors influencing adoption and use rather than algorithm development or performance benchmarking.",AI Adoption Factors,0.9,"The study is a bibliometric/systematic review of digital technologies in construction safety focusing on patterns of use, benefits, trends (e.g., AI/ML, BIM, sensors), integration effects, geographic variation, and implications for devising strategies—all relating to factors influencing technology adoption rather than developing new AI methods, benchmarking performance, or analyzing economic impacts.",AI Adoption Factors,4.5,"The abstract describes a bibliometric analysis aimed at exploring 'digital technologies' use and potential benefits in construction health and safety.' It identifies 'artificial intelligence, machine learning' as 'trending technologies' and reviews literature 'showing the benefits of using such technologies.' This focus on reviewing usage trends, the state of adoption (a 'niche theme'), and benefits aligns with understanding the factors influencing adoption, rather than developing a new AI method or evaluating a specific system's performance.",Not Related,0.9,"The abstract describes a bibliometric analysis of 'digital technologies' in construction health and safety. While 'artificial intelligence' and 'machine learning' are identified as 'trending technologies' among others (BIM, sensors, wireless technologies, UAVs, IoT), they are not the primary focus of the paper's contribution or analysis. The study provides an overview of various digital technologies, with AI/ML being mentioned as a finding rather than the core subject of its research question or methodology.",,,No label,0,0
170,10.1108/SASBE-05-2023-0111,,,,AI Adoption Factors,0.86,"The paper is a bibliometric and content analysis of digital technologies in construction (including machine learning, artificial intelligence, deep learning, computer vision, big data) for circular economy and explicitly aims to “identify challenges hindering the implementation of digital technologies for CE” and “underlines the key challenges associated with adopting digital technologies.” This focus on implementation barriers/enablers indicates adoption factors rather than method development or performance benchmarking.",AI Adoption Factors,0.89,"The study is a literature review identifying digital technologies (machine learning, AI, deep learning, computer vision, IoT, blockchain, BIM) applied to circular economy in construction and explicitly aims to ‘identify challenges hindering the implementation of digital technologies’ and discuss opportunities. It focuses on adoption barriers/enablers and the implementation of AI-related technologies rather than developing algorithms or benchmarking performance.",AI Adoption Factors,4.5,The abstract explicitly states that one of its objectives is 'to identify challenges hindering the implementation of digital technologies for CE' and that the study 'underlines the key challenges associated with adopting digital technologies'. This focus on barriers to implementation directly aligns with the AI Adoption Factors category.,AI Adoption Factors,0.95,"The abstract explicitly states that the study aims 'to identify challenges hindering the implementation of digital technologies for CE' and 'underlines the key challenges associated with adopting digital technologies', which are identified as including AI and machine learning. This directly aligns with the 'AI Adoption Factors' category, which covers factors influencing AI/ML adoption, including challenges.",,,No label,0,0
171,10.1108/SASBE-05-2022-0085,Not Related,Not Related,Not Related,Not Related,0.93,"The abstract focuses on BIM pedagogy and problem-based learning in higher education for AEC students, evaluating learning outcomes and transferable skills. It mentions using network analysis and centrality measures to study BIM skills but does not address AI/ML development, adoption, performance, or economic impacts in construction. There is no explicit AI/ML application; the emphasis is on teaching BIM concepts and competencies.",Not Related,0.92,"The abstract focuses on BIM education and pedagogy (problem-based learning) for 53 undergraduate students and analysis of BIM skills using network analysis/centrality measures. It discusses student learning, transferable skills and curriculum design; it contains no mention of AI, machine learning, algorithms, model development, adoption of AI, performance benchmarking, or economic impacts of AI in construction.",Not Related,5.0,"The abstract focuses on the use of Problem-Based Learning (PBL) as a pedagogical strategy for teaching Building Information Modelling (BIM) to students. It does not mention or discuss Artificial Intelligence (AI) or Machine Learning (ML) in any capacity, making it unrelated to the specified research scope.",Not Related,0.95,"The abstract focuses on Building Information Modelling (BIM) education and the impact of Problem-Based Learning (PBL) on student skill acquisition. It does not mention Artificial Intelligence (AI) or Machine Learning (ML) in any capacity, making it unrelated to AI in construction.",,Not Related,Majority 3-0,3,3
172,,,,,Not Related,0.7,"The abstract is a proceedings summary listing 94 diverse papers in structural engineering and construction management. While a few titles mention AI/ML (e.g., “Artificial Neural Network” and “Machine Learning Techniques”), most topics concern materials, seismic behavior, H&S, BIM, and 3D printing. The abstract does not present a single study substantially addressing AI/ML in construction; AI is only peripherally referenced among many topics.",Uncertain,0.65,"The abstract is a conference proceedings listing 94 heterogeneous papers. A few papers explicitly mention AI/ML (e.g., ‘prophecy... based on Artificial Neural Network’, ‘prediction... by Using Machine Learning Techniques’, ‘digital Twin and Resources Analytics’), and there is a paper on ‘Challenges and Strategies for Smart Technology Adoption in BIM-Based Construction Projects’. However, the majority of listed topics are materials, structural engineering, sustainability, and management, so the overall relevance and focus on AI/ML (development, evaluation, adoption, or economic impacts) is mixed and not clearly defined.",AI Development and Methods,4.5,"The abstract, which summarizes conference proceedings, explicitly lists several papers focused on the application of AI techniques to construction problems. Specific titles such as 'prophecy of Mechanical and Durability Characteristics of Sustainable Geopolymer Based on Artificial Neural Network' and 'prediction of Pore Solution Concentration in Cement Composite System by Using Machine Learning Techniques' clearly indicate a focus on developing or applying AI/ML methods for construction engineering tasks.",AI Development and Methods,0.9,"The abstract lists papers including 'prophecy of Mechanical and Durability Characteristics of Sustainable Geopolymer Based on Artificial Neural Network' and 'prediction of Pore Solution Concentration in Cement Composite System by Using Machine Learning Techniques'. These titles directly indicate the application and development of AI/ML algorithms (Artificial Neural Network, Machine Learning Techniques) tailored for specific construction-related problems like material property prediction.",,,No label,0,0
173,10.1016/j.compositesb.2024.111369,,,,Not Related,0.86,"The paper is a materials science review on natural fiber composites (NFCs), focusing on hierarchical fiber structures, MD simulations, nanoscale modifications, and treatments to improve fiber–matrix compatibility, with applications across construction/automotive/aerospace. AI/ML is mentioned only peripherally as “machine learning-assisted MD simulation” to aid NFC design, without substantial discussion of AI/ML in construction contexts, adoption, performance benchmarking, or business impacts.",Not Related,0.79,"The abstract focuses on natural fiber composites, their hierarchical structure, treatments, nanoscale modifications, and molecular dynamics (MD) simulations to understand material properties and applications (including construction). AI/ML is only briefly mentioned as an emerging aid: ‘growing use of machine learning-assisted MD simulation techniques,’ without substantive treatment of AI methods, implementation, evaluation, adoption, or economic impacts in construction. Therefore it does not substantially address AI/ML in construction.",Not Related,5.0,"The abstract's primary focus is on the material science of Natural Fiber Composites (NFCs), their hierarchical structures, and modification methods. Machine learning is mentioned only once and peripherally in the final sentence ('identifies the growing use of machine learning-assisted MD simulation techniques'). This indicates that AI is not a substantial topic of the paper.",Not Related,0.9,"The abstract primarily focuses on natural fiber composites (NFCs), molecular dynamics (MD) simulations, and material properties, with applications in various industries including construction. The mention of 'machine learning-assisted MD simulation techniques' only appears in the concluding sentence, identifying it as a 'growing use' to facilitate NFC design. This indicates that AI is a peripheral aspect, not substantially addressed as a core methodology or application within the paper, making it 'Not Related' according to the decision rules.",,,No label,0,0
174,,,,,Not Related,0.9,"The abstract summarizes a proceedings volume covering diverse topics (e.g., neural networks for environmental monitoring, university resource allocation, navigation risk assessment, tax reform impacts, AI product image anthropomorphism, intelligent transportation emissions). None of the listed topics address AI/ML applications within construction contexts, and the only industry-adjacent mention (hydropower talent evaluation under digital transformation) does not involve AI methods in construction.",Not Related,0.78,"The abstract is a proceedings overview covering diverse topics (university resource allocation, tax impact, government procurement, talent evaluation in hydropower, consumer responses to AI product images, transportation carbon analysis). While it mentions a neural-network image-recognition web application and AI product-image effects, none of the listed items focus on AI/ML applications within the construction industry specifically. Therefore it does not substantially address AI/ML in construction.",Not Related,5.0,"The abstract lists topics from a conference proceedings. While some topics mention AI, such as 'neural networks for environmental monitoring' and 'AI product image anthropomorphism', none of the examples provided are related to the construction industry. The use of the word 'construction' in 'construction of talent quality evaluation index system' refers to the creation of a system, not the industry itself.",Not Related,0.9,"The abstract lists various paper topics. While 'neural networks' and 'AI' are mentioned, their specific applications ('environmental monitoring', 'consumer purchase intention') are not within a construction context. Other topics that might relate to construction ('hydropower industry', 'transportation industry') do not explicitly involve AI/ML applications in construction, but rather general 'digital transformation' or 'intelligent transportation', making their AI relevance to construction peripheral or uncertain.",,,No label,0,0
175,,,,,Not Related,0.78,"The abstract describes a broad proceedings volume covering diverse topics (e.g., climate financial risks, regenerative medicine ethics, a robot for unscrewing, visual analytics, RL decision methods). The only construction-specific item is “decision-making dimensions towards project performance in Jordan’s construction industry,” which does not involve AI/ML. AI-related mentions (“AI-driven innovations,” “state of art of decision making methods based on reinforcement learning”) are general and not tied to construction contexts. Thus, it does not substantially address AI/ML applications in construction.",Uncertain,0.74,"The abstract is a proceedings list mixing topics: includes construction-specific items (decision-making dimensions towards project performance in Jordan’s construction industry) and AI-related titles (AI-driven innovations; robot with vision guidance; state of the art of decision making methods based on reinforcement learning). However, it does not provide clear implementation details or explicitly tie AI/ML methods to construction contexts, so relevance to AI in construction is ambiguous.",Not Related,5.0,"The abstract describes the contents of a proceedings with 436 papers on diverse topics. While it mentions one paper on the 'construction industry' and other separate papers on 'AI-driven innovations' and 'reinforcement learning', it does not describe any research that specifically applies AI to construction. The topics are presented as a disconnected list, making the overall subject unrelated to AI in construction.",Uncertain,0.8,"The abstract lists various topics. While some mention AI/ML concepts like 'AI-driven innovations', 'robot with vision guidance system', and 'reinforcement learning', their direct relevance and application within the construction industry are unclear or unspecified, aligning with the criteria for 'Uncertain' due to vague terms and insufficient context linking AI/ML to construction.",,,No label,0,0
176,10.1109/PEEEC63877.2024.00098,AI Development and Methods,,,AI Performance Evaluation,0.86,"The study applies an SVM to evaluate structural safety in construction and explicitly benchmarks it against logistic regression and random forest, reporting superiority in accuracy, recall, and F1. It also uses grid search and cross-validation for model tuning and mutual-information feature selection, indicating a focus on comparing and validating model performance rather than proposing a novel algorithm.",AI Development and Methods,0.92,"The abstract focuses on developing and optimizing an ML method for construction: it implements an SVM tailored to structural safety assessment, uses mutual-information feature selection, grid search and cross-validation for parameter tuning, and describes data preprocessing. These are algorithmic/methodological contributions rather than adoption, economic analysis, or solely benchmarking (though it includes comparative metrics vs. logistic regression and random forest).",AI Performance Evaluation,5.0,"The abstract explicitly benchmarks the proposed AI model against other methods, stating that 'Compared with logistic regression and random forest algorithm, the optimized SVM model shows superiority in accuracy, recall and F1 value.' This direct comparison to validate the system's performance is the core of the 'AI Performance Evaluation' category.",AI Performance Evaluation,0.9,"The abstract explicitly compares the optimized SVM model's performance against 'logistic regression and random forest algorithm' using metrics like 'accuracy, recall and F1 value', demonstrating its 'superiority'. This directly aligns with benchmarking and validating AI/ML systems against other methods.",,AI Development and Methods,Single label,1,1
177,10.1145/3675812.3675873,Not Related,,,Not Related,0.93,"The abstract discusses pedagogy for software engineering education—case-based teaching and creating a project case library—in the era of AI. It focuses on student learning outcomes and curriculum design, not AI/ML applications in the construction industry. No construction contexts (e.g., BIM, scheduling, site management) or construction-specific AI methods are mentioned.",Not Related,0.92,"The abstract focuses on engineering education and improving case teaching for software engineering (constructing a 'Project application Style' case library, cultivating self-directed learning, competitions, research, innovation). 'Artificial intelligence' is only mentioned as contextual era; there is no discussion of AI/ML methods, implementation, adoption factors, performance benchmarking, or economic impacts in construction. Therefore it is not substantially about AI in construction.",Not Related,5.0,"The abstract focuses on improving 'engineering education' through 'case teaching' for 'software engineering courses'. Although it mentions the 'era of artificial intelligence', it does not discuss the application or development of AI within the construction industry. The subject matter is pedagogy and curriculum development, not construction.",Not Related,0.95,"The abstract focuses on engineering education, specifically case teaching in software engineering courses 'in the era of artificial intelligence.' It does not discuss the application of AI/ML within the construction industry, nor does it address AI development, adoption, performance, or economic impacts related to construction. The mention of AI is peripheral to the construction context.",,Not Related,Single label,1,1
178,,Not Related,,,Not Related,0.97,"The abstract discusses game-based learning using LEGO in construction engineering education to improve communication, leadership, analytical, and decision-making skills. It contains no mention of AI or ML, algorithms, or construction AI applications, focusing instead on educational pedagogy and assessment.",Not Related,0.94,"Abstract describes a game-based learning study using LEGO to teach construction engineering skills (communication, leadership, analytical, decision-making) with pre/post assessments. It contains no mention of AI, machine learning, algorithms, models, or computational techniques applied to construction.",Not Related,5.0,"The abstract focuses on the application of game-based learning, specifically using LEGO sets, to teach skills to construction engineering students. There is no mention of Artificial Intelligence (AI), Machine Learning (ML), or any related computational methods. The research evaluates a pedagogical approach, not an AI system.",Not Related,0.98,The abstract focuses entirely on the application and effectiveness of 'game-based learning' using 'LEGO sets' in 'construction engineering education' to enhance students' skills. There is no mention or discussion of AI or ML applications in construction within the abstract.,,Not Related,Single label,1,1
179,10.1007/978-3-031-73514-1_9,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,0.86,"The abstract centers on planning and facilitating the adoption of AI in AECO: it highlights professionals’ lack of knowledge in “adoption of AI-driven solutions,” difficulties in setting goals and a “digital strategy,” and proposes a framework to determine “roles played by AI-driven solutions,” “level of automation,” and human roles. It aims to guide structured discussion to plan AI application development, indicating a focus on adoption enablers and planning rather than algorithm design or performance benchmarking.",AI Adoption Factors,0.93,"The abstract focuses on planning and facilitating the adoption of AI in the AECO industry: it identifies practitioner knowledge gaps when 'planning the adoption of AI-driven solutions,' proposes a 'two-dimensional conceptual framework for determining the roles played by AI-driven solutions, their level of automation, and the roles that suit humans best,' and aims to 'facilitate structured discussion and communication between professionals to plan the development of AI applications.' These cues indicate the paper addresses factors, barriers, and processes related to AI adoption rather than algorithm design, benchmarking, or economic ROI analysis.",AI Adoption Factors,5.0,"The abstract proposes a conceptual framework to assist professionals in ""planning the adoption of AI-driven solutions."" It directly addresses challenges faced during adoption, such as professionals' ""lack of knowledge of what can be automated and encounter difficulties in setting goals and defining a digital strategy."" The framework's goal is to facilitate planning and discussion, which are key aspects of the adoption process.",AI Adoption Factors,0.95,"The abstract discusses problems in the AECO industry that can be mitigated by 'the adoption of solutions based on artificial intelligence (AI)'. It explicitly addresses challenges in 'planning the adoption of AI-driven solutions', such as professionals lacking knowledge and encountering difficulties in setting goals. The proposed framework aims to 'assist professionals' in 'planning the development of AI applications that have more chance to succeed', which directly relates to factors influencing successful AI adoption.",,AI Adoption Factors,Majority 3-0,3,3
180,,Not Related,,,Not Related,0.95,"The abstract describes a hybrid-remote summer camp curriculum for teaching AI and Python to underrepresented middle/high school students using an inquiry-based pedagogy. It focuses on education, cloud-based tools, and student feedback, with no mention of construction industry contexts, applications (e.g., BIM, scheduling), or AI/ML use in construction.",Not Related,0.92,"The abstract describes a summer camp curriculum teaching AI/Data Science and Python to underrepresented students, focusing on pedagogy, remote delivery, student surveys, and curriculum refinement. It is an education/outreach study with no mention of the construction industry or construction-related AI/ML applications, so it is not related to construction-specific AI research.",Not Related,5.0,"The abstract focuses on a summer camp curriculum designed to teach Data Science and AI concepts to underrepresented students. The context is entirely educational, discussing pedagogical models and curriculum evaluation. The use of the word 'construction' is in the phrase 'construction of programs,' which refers to software development, not the building or civil engineering industry. Therefore, the paper is not related to the construction industry.",Not Related,1.0,The abstract focuses on the development and evaluation of a summer camp curriculum designed to teach Data Science and Artificial Intelligence (AI) concepts to underrepresented students. There is no mention or implication of AI application within the construction industry; the context is entirely educational and workforce development for data science careers.,,Not Related,Single label,1,1
181,10.1061/JLADAH.LADR-988,,,,Not Related,0.7,"The abstract reviews Industry 4.0 technologies in AEC contract management (e.g., BIM contractual requirements, smart contracts, information management and traceability) via bibliometrics and SLR, but it does not explicitly discuss AI or ML methods, development, adoption, performance, or economic impacts. The focus is broad I4.0 rather than AI/ML-specific applications.",AI Adoption Factors,0.86,"The paper is a systematic review of Industry 4.0 (I4.0) applications in contract management within AEC and explicitly identifies relevant I4.0 technologies, as well as the ""benefits, challenges, and gaps"" of the literature. This focus on implications, challenges, and benefits aligns with exploration of factors influencing AI/I4.0 adoption rather than algorithm development, performance benchmarking, or economic/ROI analysis.",AI Adoption Factors,4.0,"The abstract describes a systematic literature review focused on identifying the ""benefits, challenges, and gaps"" of Industry 4.0 technology applications in construction contract management. This directly aligns with the exploration of factors that enable or hinder the adoption of new technologies like AI.",Uncertain,0.9,"The abstract discusses the application of 'Industry 4.0 (I4.0) technologies' and 'smart contracts' in contract management. While I4.0 is a broad umbrella that can include AI, and 'smart contracts' are often blockchain-based (another I4.0 technology), AI or machine learning are not explicitly mentioned. The terms are too vague to definitively classify it into an AI-specific category, aligning with the 'Uncertain' rule: 'Papers with unclear relevance to AI/ML in construction due to vague terms (e.g., 'smart systems') or insufficient implementation details.'",,,No label,0,0
